doc_id,datetime,text,media,alt_text,likes,reposts,replies,username,handle,user_description,user_image,user_followers,commented_post,sponsored,target,condition,sequence
1,26.03.22 06:00,New York. #newyorkcity #brooklynphotographers ,https://raw.githubusercontent.com/mars4206-gif/study-images/main/Image1.png,,0,0,0,cityframe_daily,cityframe_daily,,https://raw.githubusercontent.com/mars4206-gif/study-images/main/user1.jpg,0,0,0,,A,
2,25.05.23 03:00,"Today, the Joslyn Art Museum opens! The 42,000-square-foot addition features light-filled galleries.",https://raw.githubusercontent.com/mars4206-gif/study-images/main/Image2.png,,0,0,0,structureandlight,structureandlight,,https://raw.githubusercontent.com/mars4206-gif/study-images/main/user2.jpg,0,0,0,,A,
3,26.08.18 06:00,Meet Our New AI Glasses,https://raw.githubusercontent.com/mars4206-gif/study-images/main/TP1.png,,0,0,0,Veyra_AIGlasses,Veyra_AIGlasses,,https://raw.githubusercontent.com/mars4206-gif/study-images/main/brand2.png,0,0,1,https://mars4206-gif.github.io/landing_page/,A,3
4,22.07.16 09:34,Smoky Harissa Butter Beans with Charred Aubergine and Herby Tahini.,https://raw.githubusercontent.com/mars4206-gif/study-images/main/Image3.png,,0,0,0,plateandspoon,plateandspoon,,https://raw.githubusercontent.com/mars4206-gif/study-images/main/user3.jpg,0,0,0,,A,
5,24.09.29 11:23,A little maintenance goes a long way toward keeping clothes smelling fresh and your washing machine running smoothly.,https://raw.githubusercontent.com/mars4206-gif/study-images/main/Image4.png,,0,0,0,simplehomejournal,simplehomejournal,,https://raw.githubusercontent.com/mars4206-gif/study-images/main/user4.jpg,0,0,0,,A,
6,26.03.22 06:00,New York. #newyorkcity #brooklynphotographers ,https://raw.githubusercontent.com/mars4206-gif/study-images/main/Image1.png,,0,0,0,cityframe_daily,cityframe_daily,,https://raw.githubusercontent.com/mars4206-gif/study-images/main/user1.jpg,0,0,0,,B,
7,25.05.23 03:00,"Today, the Joslyn Art Museum opens! The 42,000-square-foot addition features light-filled galleries.",https://raw.githubusercontent.com/mars4206-gif/study-images/main/Image2.png,,0,0,0,structureandlight,structureandlight,,https://raw.githubusercontent.com/mars4206-gif/study-images/main/user2.jpg,0,0,0,,B,
8,26.08.18 06:00,Meet Our New AI Glasses,https://raw.githubusercontent.com/mars4206-gif/study-images/main/RP1.png,,0,0,0,Veyra_AIGlasses,Veyra_AIGlasses,,https://raw.githubusercontent.com/mars4206-gif/study-images/main/brand2.png,0,0,1,https://mars4206-gif.github.io/landing_page/,B,3
9,22.07.16 09:34,Smoky Harissa Butter Beans with Charred Aubergine and Herby Tahini.,https://raw.githubusercontent.com/mars4206-gif/study-images/main/Image3.png,,0,0,0,plateandspoon,plateandspoon,,https://raw.githubusercontent.com/mars4206-gif/study-images/main/user3.jpg,0,0,0,,B,
10,24.09.29 11:23,A little maintenance goes a long way toward keeping clothes smelling fresh and your washing machine running smoothly.,https://raw.githubusercontent.com/mars4206-gif/study-images/main/Image4.png,,0,0,0,simplehomejournal,simplehomejournal,,https://raw.githubusercontent.com/mars4206-gif/study-images/main/user4.jpg,0,0,0,,B,
11,26.03.22 06:00,New York. #newyorkcity #brooklynphotographers ,https://raw.githubusercontent.com/mars4206-gif/study-images/main/Image1.png,,0,0,0,cityframe_daily,cityframe_daily,,https://raw.githubusercontent.com/mars4206-gif/study-images/main/user1.jpg,0,0,0,,C,
12,25.05.23 03:00,"Today, the Joslyn Art Museum opens! The 42,000-square-foot addition features light-filled galleries.",https://raw.githubusercontent.com/mars4206-gif/study-images/main/Image2.png,,0,0,0,structureandlight,structureandlight,,https://raw.githubusercontent.com/mars4206-gif/study-images/main/user2.jpg,0,0,0,,C,
13,26.08.18 06:00,Meet Our New AI Glasses,https://raw.githubusercontent.com/mars4206-gif/study-images/main/control.png,,0,0,0,Veyra_AIGlasses,Veyra_AIGlasses,,https://raw.githubusercontent.com/mars4206-gif/study-images/main/brand2.png,0,0,1,https://mars4206-gif.github.io/landing_page/,C,3
14,22.07.16 09:34,Smoky Harissa Butter Beans with Charred Aubergine and Herby Tahini.,https://raw.githubusercontent.com/mars4206-gif/study-images/main/Image3.png,,0,0,0,plateandspoon,plateandspoon,,https://raw.githubusercontent.com/mars4206-gif/study-images/main/user3.jpg,0,0,0,,C,
15,24.09.29 11:23,A little maintenance goes a long way toward keeping clothes smelling fresh and your washing machine running smoothly.,https://raw.githubusercontent.com/mars4206-gif/study-images/main/Image4.png,,0,0,0,simplehomejournal,simplehomejournal,,https://raw.githubusercontent.com/mars4206-gif/study-images/main/user4.jpg,0,0,0,,C,
